"Year","Location Description","Data Source","Topic Description","Measure Description","Sub-Measure","Data Value Type","Data Value"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.488"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.500"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.900"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","802981080.000"
"2016","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.396"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","33.400"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","40.400"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","852943608.000"
"2015","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.248"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","33.600"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","41.300"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","858052008.000"
"2014","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","7.051"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","31.700"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","42.400"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","808255800.000"
"2013","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","1.980"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","6.854"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","46.500"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","43.600"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.990"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","588935400.000"
"2012","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.871"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","45.300"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.900"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.990"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","570146571.000"
"2011","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.884"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","44.100"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.800"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.990"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","558323640.000"
"2010","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.631"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","45.200"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.300"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.990"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","571347840.000"
"2009","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.949"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","47.900"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","27.700"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","603787800.000"
"2008","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2007","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.979"
"2007","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","48.600"
"2007","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","27.500"
"2007","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2007","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","611784600.000"
"2007","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2006","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.821"
"2006","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","51.500"
"2006","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","28.400"
"2006","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2006","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","643742700.000"
"2006","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2005","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.607"
"2005","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","52.200"
"2005","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","29.700"
"2005","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2005","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","650028120.000"
"2005","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2004","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.353"
"2004","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","60.000"
"2004","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","31.500"
"2004","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2004","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","744402120.000"
"2004","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2003","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.058"
"2003","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","51.400"
"2003","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.800"
"2003","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2003","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","653697190.000"
"2003","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.980"
"2002","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.038"
"2002","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","70.900"
"2002","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.900"
"2002","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.370"
"2002","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","471550800.000"
"2002","Illinois","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.580"
"2016","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.581"
"2016","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","62.400"
"2016","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","35.900"
"2016","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2016","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","431322426.000"
"2016","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2015","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.410"
"2015","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","62.700"
"2015","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","37.100"
"2015","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2015","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","411617471.000"
"2015","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2014","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.390"
"2014","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","63.600"
"2014","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","37.200"
"2014","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2014","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","417532271.000"
"2014","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.257"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","66.900"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","38.100"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","434473203.000"
"2013","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2012","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.231"
"2012","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","66.000"
"2012","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","38.300"
"2012","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2012","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","428080840.000"
"2012","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2011","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.199"
"2011","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","69.600"
"2011","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","38.600"
"2011","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2011","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","448763368.000"
"2011","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2010","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","5.147"
"2010","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","71.700"
"2010","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","39.000"
"2010","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2010","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","462532256.000"
"2010","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2009","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.814"
"2009","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","78.900"
"2009","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","41.600"
"2009","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","2.005"
"2009","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","500769869.000"
"2009","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2008","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.093"
"2008","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","81.700"
"2008","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.800"
"2008","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.385"
"2008","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","515812582.000"
"2008","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.995"
"2007","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","4.138"
"2007","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","102.300"
"2007","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","33.500"
"2007","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","1.385"
"2007","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","358376047.000"
"2007","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.555"
"2006","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.490"
"2006","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","98.700"
"2006","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","27.100"
"2006","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.945"
"2006","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","343491000.000"
"2006","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.555"
"2005","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.509"
"2005","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","96.100"
"2005","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.900"
"2005","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.945"
"2005","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","331903577.000"
"2005","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.555"
"2004","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.451"
"2004","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","97.700"
"2004","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","27.400"
"2004","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.945"
"2004","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","335915185.000"
"2004","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.555"
"2003","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.514"
"2003","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","101.100"
"2003","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.900"
"2003","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.945"
"2003","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","343657232.000"
"2003","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.555"
"2002","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Average Cost per pack ","Dollars","3.574"
"2002","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Cigarette Consumption (Pack Sales Per Capita)","Pack","121.400"
"2002","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State tax as a Percentage of Retail Price ","Percentage","26.400"
"2002","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Federal and State Tax per pack ","Dollars","0.945"
"2002","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","Gross Cigarette Tax Revenue ","Dollars","114756720.000"
"2002","Indiana","OW","The Tax Burden on Tobacco","Cigarette Sales","State Tax per pack ","Dollars","0.155"
